Rank,Filename,Sector,Overall_Score,Match_Percentage,Text_Similarity,Skill_Score,Experience_Score,Education_Score,Experience_Years,Education_Level,Skills_Count,All_Skills,Recommendations,File_Path
1456,25923361.pdf,ARTS,0.2886,28.86,0.0217,0.0625,0.7,1.0,30,5,1,ACCOUNTANT:excel,"Consider developing skills in: sales, adobe creative suite, seo, sem, analytics",..\data\data\data\ARTS\25923361.pdf
1457,27298953.pdf,CHEF,0.2885,28.85,0.0789,0.375,0.0,0.6667,0,2,6,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, seo, sem, analytics, digital marketing | Gain 4 more years of relevant experience | Consider pursuing higher education qualifications",..\data\data\data\CHEF\27298953.pdf
1458,19786924.pdf,TEACHER,0.2883,28.83,0.0206,0.0625,0.7,1.0,50,3,1,ACCOUNTANT:excel,"Consider developing skills in: sales, adobe creative suite, seo, sem, analytics",..\data\data\data\TEACHER\19786924.pdf
1459,27000192.pdf,PUBLIC-RELATIONS,0.2882,28.82,0.1029,0.25,0.0,1.0,0,4,4,ACCOUNTANT:excel | PHARMACEUTICAL:marketing | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: sales, adobe creative suite, seo, sem, analytics | Gain 4 more years of relevant experience",..\data\data\data\PUBLIC-RELATIONS\27000192.pdf
1460,23666211.pdf,INFORMATION-TECHNOLOGY,0.2879,28.79,0.0415,0.0,0.85,1.0,10,4,0,,"Consider developing skills in: excel, sales, adobe creative suite, seo, sem",..\data\data\data\INFORMATION-TECHNOLOGY\23666211.pdf
1461,35579812.pdf,HEALTHCARE,0.2876,28.76,0.0179,0.0625,0.7,1.0,20,3,1,SOFT-SKILLS:communication,"Consider developing skills in: excel, sales, adobe creative suite, seo, sem",..\data\data\data\HEALTHCARE\35579812.pdf
1462,13072019.pdf,ACCOUNTANT,0.2876,28.76,0.0179,0.0625,0.7,1.0,20,4,1,ACCOUNTANT:excel,"Consider developing skills in: sales, adobe creative suite, seo, sem, analytics",..\data\data\data\ACCOUNTANT\13072019.pdf
1463,64017585.pdf,INFORMATION-TECHNOLOGY,0.2873,28.73,0.0991,0.25,0.0,1.0,0,4,4,BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales,"Consider developing skills in: excel, adobe creative suite, seo, sem, analytics | Gain 4 more years of relevant experience",..\data\data\data\INFORMATION-TECHNOLOGY\64017585.pdf
1464,33135102.pdf,BANKING,0.2871,28.71,0.016,0.0625,0.7,1.0,29,3,1,SOFT-SKILLS:communication,"Consider developing skills in: excel, sales, adobe creative suite, seo, sem",..\data\data\data\BANKING\33135102.pdf
1465,11555549.pdf,ARTS,0.2869,28.69,0.0149,0.0625,0.7,1.0,50,4,1,ACCOUNTANT:excel,"Consider developing skills in: sales, adobe creative suite, seo, sem, analytics",..\data\data\data\ARTS\11555549.pdf
1466,97169343.pdf,HEALTHCARE,0.2865,28.65,0.0712,0.375,0.0,0.6667,0,2,6,BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: excel, adobe creative suite, seo, sem, analytics | Gain 4 more years of relevant experience | Consider pursuing higher education qualifications",..\data\data\data\HEALTHCARE\97169343.pdf
1467,12666174.pdf,CONSTRUCTION,0.2865,28.65,0.0136,0.0625,0.7,1.0,20,4,1,ACCOUNTANT:excel,"Consider developing skills in: sales, adobe creative suite, seo, sem, analytics",..\data\data\data\CONSTRUCTION\12666174.pdf
1468,18767449.pdf,FITNESS,0.2865,28.65,0.0136,0.0625,0.7,1.0,50,4,1,ACCOUNTANT:excel,"Consider developing skills in: sales, adobe creative suite, seo, sem, analytics",..\data\data\data\FITNESS\18767449.pdf
1469,38216888.pdf,AGRICULTURE,0.2864,28.64,0.0333,0.0625,1.0,0.6667,4,2,1,ACCOUNTANT:excel,"Consider developing skills in: sales, adobe creative suite, seo, sem, analytics | Consider pursuing higher education qualifications",..\data\data\data\AGRICULTURE\38216888.pdf
1470,29930479.pdf,TEACHER,0.2862,28.62,0.0122,0.0625,0.7,1.0,41,4,1,ACCOUNTANT:excel,"Consider developing skills in: sales, adobe creative suite, seo, sem, analytics",..\data\data\data\TEACHER\29930479.pdf
1471,24953126.pdf,CONSTRUCTION,0.2861,28.61,0.0119,0.0625,0.7,1.0,20,4,1,SOFT-SKILLS:communication,"Consider developing skills in: excel, sales, adobe creative suite, seo, sem",..\data\data\data\CONSTRUCTION\24953126.pdf
1472,22168194.pdf,AVIATION,0.2858,28.58,0.0083,0.125,0.85,0.6667,10,2,2,DIGITAL-MEDIA:sem | MARKETING:sem,"Consider developing skills in: excel, sales, adobe creative suite, analytics, seo | Consider pursuing higher education qualifications",..\data\data\data\AVIATION\22168194.pdf
1473,26581830.pdf,BUSINESS-DEVELOPMENT,0.2857,28.57,0.0677,0.375,0.0,0.6667,0,2,6,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, seo, sem, analytics, digital marketing | Gain 4 more years of relevant experience | Consider pursuing higher education qualifications",..\data\data\data\BUSINESS-DEVELOPMENT\26581830.pdf
1474,18442517.pdf,DIGITAL-MEDIA,0.2857,28.57,0.0676,0.375,0.0,0.6667,0,2,6,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, seo, sem, analytics, digital marketing | Gain 4 more years of relevant experience | Consider pursuing higher education qualifications",..\data\data\data\DIGITAL-MEDIA\18442517.pdf
1475,29573698.pdf,FITNESS,0.2852,28.52,0.0285,0.3125,0.25,0.6667,1,2,5,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, seo, sem, analytics, digital marketing | Gain 3 more years of relevant experience | Consider pursuing higher education qualifications",..\data\data\data\FITNESS\29573698.pdf
1476,47549345.pdf,ENGINEERING,0.2852,28.52,0.031,0.0,0.85,1.0,10,4,0,,"Consider developing skills in: excel, sales, adobe creative suite, seo, sem",..\data\data\data\ENGINEERING\47549345.pdf
1477,50324968.pdf,APPAREL,0.2851,28.51,0.0653,0.375,0.0,0.6667,0,2,6,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, seo, sem, analytics, digital marketing | Gain 4 more years of relevant experience | Consider pursuing higher education qualifications",..\data\data\data\APPAREL\50324968.pdf
1478,28243590.pdf,CONSULTANT,0.285,28.5,0.0076,0.0625,0.7,1.0,20,4,1,ACCOUNTANT:excel,"Consider developing skills in: sales, adobe creative suite, seo, sem, analytics",..\data\data\data\CONSULTANT\28243590.pdf
1479,18368613.pdf,SALES,0.2849,28.49,0.0896,0.25,0.0,1.0,0,3,4,BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales,"Consider developing skills in: excel, adobe creative suite, seo, sem, analytics | Gain 4 more years of relevant experience",..\data\data\data\SALES\18368613.pdf
1480,17422560.pdf,HR,0.2848,28.48,0.0392,0.5,0.0,0.3333,0,1,8,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, analytics, seo, google analytics, ppc | Gain 4 more years of relevant experience | Consider pursuing higher education qualifications",..\data\data\data\HR\17422560.pdf
1481,23631724.pdf,PUBLIC-RELATIONS,0.2844,28.44,0.0875,0.25,0.0,1.0,0,3,4,ACCOUNTANT:excel | PHARMACEUTICAL:marketing | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: sales, adobe creative suite, seo, sem, analytics | Gain 4 more years of relevant experience",..\data\data\data\PUBLIC-RELATIONS\23631724.pdf
1482,22442947.pdf,AVIATION,0.2843,28.43,0.0396,0.0625,0.975,0.6667,5,2,1,ACCOUNTANT:excel,"Consider developing skills in: sales, adobe creative suite, seo, sem, analytics | Consider pursuing higher education qualifications",..\data\data\data\AVIATION\22442947.pdf
1483,12814706.pdf,BUSINESS-DEVELOPMENT,0.2842,28.42,0.0618,0.375,0.0,0.6667,0,2,6,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, seo, sem, analytics, digital marketing | Gain 4 more years of relevant experience | Consider pursuing higher education qualifications",..\data\data\data\BUSINESS-DEVELOPMENT\12814706.pdf
1484,26234972.pdf,CONSULTANT,0.284,28.4,0.0861,0.25,0.0,1.0,0,4,4,ACCOUNTANT:excel | PHARMACEUTICAL:marketing | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: sales, adobe creative suite, seo, sem, analytics | Gain 4 more years of relevant experience",..\data\data\data\CONSULTANT\26234972.pdf
1485,71576860.pdf,CONSTRUCTION,0.284,28.4,0.0608,0.375,0.0,0.6667,0,2,6,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:analytics | PHARMACEUTICAL:sales | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, sem, seo, digital marketing, seo | Gain 4 more years of relevant experience | Consider pursuing higher education qualifications",..\data\data\data\CONSTRUCTION\71576860.pdf
1486,25070914.pdf,PUBLIC-RELATIONS,0.284,28.4,0.0858,0.25,0.0,1.0,0,4,4,ACCOUNTANT:excel | PHARMACEUTICAL:marketing | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: sales, adobe creative suite, seo, sem, analytics | Gain 4 more years of relevant experience",..\data\data\data\PUBLIC-RELATIONS\25070914.pdf
1487,37348041.pdf,ADVOCATE,0.2834,28.34,0.0237,0.0,0.85,1.0,10,3,0,,"Consider developing skills in: excel, sales, adobe creative suite, seo, sem",..\data\data\data\ADVOCATE\37348041.pdf
1488,29415426.pdf,ADVOCATE,0.2828,28.28,0.0214,0.0,0.85,1.0,10,3,0,,"Consider developing skills in: excel, sales, adobe creative suite, seo, sem",..\data\data\data\ADVOCATE\29415426.pdf
1489,64589506.pdf,BANKING,0.2825,28.25,0.0198,0.0,0.85,1.0,10,4,0,,"Consider developing skills in: excel, sales, adobe creative suite, seo, sem",..\data\data\data\BANKING\64589506.pdf
1490,22380187.pdf,DIGITAL-MEDIA,0.2822,28.22,0.2537,0.375,0.0,0.3333,0,1,6,ACCOUNTANT:excel | DIGITAL-MEDIA:analytics | MARKETING:google analytics | PHARMACEUTICAL:marketing | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: sales, adobe creative suite, sem, seo, ppc | Gain 4 more years of relevant experience | Consider pursuing higher education qualifications",..\data\data\data\DIGITAL-MEDIA\22380187.pdf
1491,38056161.pdf,PUBLIC-RELATIONS,0.2821,28.21,0.0785,0.25,0.0,1.0,0,4,4,ACCOUNTANT:excel | DIGITAL-MEDIA:sem | MARKETING:sem | SOFT-SKILLS:communication,"Consider developing skills in: sales, adobe creative suite, analytics, seo, google analytics | Gain 4 more years of relevant experience",..\data\data\data\PUBLIC-RELATIONS\38056161.pdf
1492,59962788.pdf,HR,0.282,28.2,0.0405,0.1875,0.25,1.0,1,4,3,DIGITAL-MEDIA:sem | MARKETING:sem | SOFT-SKILLS:communication,"Consider developing skills in: excel, sales, adobe creative suite, analytics, seo | Gain 3 more years of relevant experience",..\data\data\data\HR\59962788.pdf
1493,19268120.pdf,CHEF,0.2817,28.17,0.0293,0.0625,0.975,0.6667,5,2,1,ACCOUNTANT:excel,"Consider developing skills in: sales, adobe creative suite, seo, sem, analytics | Consider pursuing higher education qualifications",..\data\data\data\CHEF\19268120.pdf
1494,12254068.pdf,CHEF,0.2815,28.15,0.0759,0.25,0.0,1.0,0,3,4,BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales,"Consider developing skills in: excel, adobe creative suite, seo, sem, analytics | Gain 4 more years of relevant experience",..\data\data\data\CHEF\12254068.pdf
1495,79261033.pdf,BPO,0.2815,28.15,0.0409,0.25,0.725,0.3333,15,1,4,BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales,"Consider developing skills in: excel, adobe creative suite, seo, sem, analytics | Consider pursuing higher education qualifications",..\data\data\data\BPO\79261033.pdf
1496,66906212.pdf,TEACHER,0.2814,28.14,0.0756,0.25,0.0,1.0,0,3,4,DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:marketing | SOFT-SKILLS:communication,"Consider developing skills in: excel, sales, adobe creative suite, analytics, seo | Gain 4 more years of relevant experience",..\data\data\data\TEACHER\66906212.pdf
1497,33236701.pdf,SALES,0.2812,28.12,0.0498,0.375,0.0,0.6667,0,2,6,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, seo, sem, analytics, digital marketing | Gain 4 more years of relevant experience | Consider pursuing higher education qualifications",..\data\data\data\SALES\33236701.pdf
1498,28198029.pdf,SALES,0.2811,28.11,0.0492,0.375,0.0,0.6667,0,2,6,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, seo, sem, analytics, digital marketing | Gain 4 more years of relevant experience | Consider pursuing higher education qualifications",..\data\data\data\SALES\28198029.pdf
1499,15618327.pdf,AVIATION,0.2807,28.07,0.0327,0.125,0.775,0.6667,13,2,2,ACCOUNTANT:excel | SOFT-SKILLS:communication,"Consider developing skills in: sales, adobe creative suite, seo, sem, analytics | Consider pursuing higher education qualifications",..\data\data\data\AVIATION\15618327.pdf
1500,14611516.pdf,PUBLIC-RELATIONS,0.2804,28.04,0.159,0.3125,0.0,0.6667,0,2,5,BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media,"Consider developing skills in: excel, adobe creative suite, seo, sem, analytics | Gain 4 more years of relevant experience | Consider pursuing higher education qualifications",..\data\data\data\PUBLIC-RELATIONS\14611516.pdf
1501,95382114.pdf,BUSINESS-DEVELOPMENT,0.2804,28.04,0.0714,0.25,0.0,1.0,0,4,4,BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales,"Consider developing skills in: excel, adobe creative suite, seo, sem, analytics | Gain 4 more years of relevant experience",..\data\data\data\BUSINESS-DEVELOPMENT\95382114.pdf
1502,25207620.pdf,INFORMATION-TECHNOLOGY,0.2801,28.01,0.0506,0.25,0.7,0.3333,50,1,4,ACCOUNTANT:excel | DIGITAL-MEDIA:sem | MARKETING:sem | SOFT-SKILLS:communication,"Consider developing skills in: sales, adobe creative suite, analytics, seo, google analytics | Consider pursuing higher education qualifications",..\data\data\data\INFORMATION-TECHNOLOGY\25207620.pdf
1503,28206098.pdf,ADVOCATE,0.2801,28.01,0.0355,0.25,0.725,0.3333,15,1,4,BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: excel, adobe creative suite, seo, sem, analytics | Consider pursuing higher education qualifications",..\data\data\data\ADVOCATE\28206098.pdf
1504,84373843.pdf,FINANCE,0.28,28.0,0.0225,0.0625,0.975,0.6667,5,2,1,ACCOUNTANT:excel,"Consider developing skills in: sales, adobe creative suite, seo, sem, analytics | Consider pursuing higher education qualifications",..\data\data\data\FINANCE\84373843.pdf
1505,28396528.pdf,CHEF,0.2799,27.99,0.0069,0.0625,1.0,0.6667,4,2,1,SOFT-SKILLS:communication,"Consider developing skills in: excel, sales, adobe creative suite, seo, sem | Consider pursuing higher education qualifications",..\data\data\data\CHEF\28396528.pdf
1506,54180474.pdf,ARTS,0.2797,27.97,0.0687,0.25,0.0,1.0,0,4,4,ACCOUNTANT:excel | PHARMACEUTICAL:marketing | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: sales, adobe creative suite, seo, sem, analytics | Gain 4 more years of relevant experience",..\data\data\data\ARTS\54180474.pdf
1507,69155584.pdf,SALES,0.2795,27.95,0.0432,0.375,0.0,0.6667,0,2,6,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, seo, sem, analytics, digital marketing | Gain 4 more years of relevant experience | Consider pursuing higher education qualifications",..\data\data\data\SALES\69155584.pdf
1508,24411323.pdf,FINANCE,0.2795,27.95,0.0432,0.375,0.0,0.6667,0,2,6,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, seo, sem, analytics, digital marketing | Gain 4 more years of relevant experience | Consider pursuing higher education qualifications",..\data\data\data\FINANCE\24411323.pdf
1509,19951766.pdf,CHEF,0.2794,27.94,0.0201,0.0625,0.975,0.6667,5,2,1,ACCOUNTANT:excel,"Consider developing skills in: sales, adobe creative suite, seo, sem, analytics | Consider pursuing higher education qualifications",..\data\data\data\CHEF\19951766.pdf
1510,10344379.pdf,ADVOCATE,0.2791,27.91,0.0664,0.25,0.0,1.0,0,3,4,ACCOUNTANT:excel | DIGITAL-MEDIA:sem | MARKETING:sem | SOFT-SKILLS:communication,"Consider developing skills in: sales, adobe creative suite, analytics, seo, google analytics | Gain 4 more years of relevant experience",..\data\data\data\ADVOCATE\10344379.pdf
1511,93988900.pdf,HEALTHCARE,0.2786,27.86,0.0395,0.375,0.0,0.6667,0,2,6,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, seo, sem, analytics, digital marketing | Gain 4 more years of relevant experience | Consider pursuing higher education qualifications",..\data\data\data\HEALTHCARE\93988900.pdf
1512,34131484.pdf,SALES,0.2786,27.86,0.0393,0.375,0.0,0.6667,0,2,6,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | RETAIL:sales,"Consider developing skills in: adobe creative suite, analytics, seo, google analytics, ppc | Gain 4 more years of relevant experience | Consider pursuing higher education qualifications",..\data\data\data\SALES\34131484.pdf
1513,10898339.pdf,SALES,0.2784,27.84,0.0386,0.375,0.0,0.6667,0,2,6,BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: excel, adobe creative suite, analytics, seo, google analytics | Gain 4 more years of relevant experience | Consider pursuing higher education qualifications",..\data\data\data\SALES\10898339.pdf
1514,30311202.pdf,CHEF,0.2784,27.84,0.0161,0.0625,0.975,0.6667,5,2,1,SOFT-SKILLS:communication,"Consider developing skills in: excel, sales, adobe creative suite, seo, sem | Consider pursuing higher education qualifications",..\data\data\data\CHEF\30311202.pdf
1515,15546686.pdf,AGRICULTURE,0.2782,27.82,0.0628,0.25,0.0,1.0,0,4,4,BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales,"Consider developing skills in: excel, adobe creative suite, seo, sem, analytics | Gain 4 more years of relevant experience",..\data\data\data\AGRICULTURE\15546686.pdf
1516,22894544.pdf,CONSTRUCTION,0.278,27.8,0.0297,0.0625,0.95,0.6667,6,2,1,SOFT-SKILLS:communication,"Consider developing skills in: excel, sales, adobe creative suite, seo, sem | Consider pursuing higher education qualifications",..\data\data\data\CONSTRUCTION\22894544.pdf
1517,93576192.pdf,ARTS,0.278,27.8,0.0471,0.0,0.775,1.0,13,4,0,,"Consider developing skills in: excel, sales, adobe creative suite, seo, sem",..\data\data\data\ARTS\93576192.pdf
1518,57706851.pdf,BPO,0.2778,27.78,0.0612,0.25,0.0,1.0,0,4,4,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | RETAIL:sales,"Consider developing skills in: adobe creative suite, seo, sem, analytics, digital marketing | Gain 4 more years of relevant experience",..\data\data\data\BPO\57706851.pdf
1519,14517953.pdf,CONSULTANT,0.2777,27.77,0.0608,0.25,0.0,1.0,0,4,4,ACCOUNTANT:excel | DIGITAL-MEDIA:sem | MARKETING:sem | PUBLIC-RELATIONS:social media,"Consider developing skills in: sales, adobe creative suite, analytics, seo, google analytics | Gain 4 more years of relevant experience",..\data\data\data\CONSULTANT\14517953.pdf
1520,18645964.pdf,BANKING,0.2777,27.77,0.0607,0.25,0.0,1.0,0,3,4,BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: excel, adobe creative suite, seo, sem, analytics | Gain 4 more years of relevant experience",..\data\data\data\BANKING\18645964.pdf
1521,23782450.pdf,SALES,0.2775,27.75,0.035,0.375,0.0,0.6667,0,2,6,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, seo, sem, analytics, digital marketing | Gain 4 more years of relevant experience | Consider pursuing higher education qualifications",..\data\data\data\SALES\23782450.pdf
1522,13149176.pdf,ENGINEERING,0.2775,27.75,0.0599,0.25,0.0,1.0,0,3,4,BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales,"Consider developing skills in: excel, adobe creative suite, seo, sem, analytics | Gain 4 more years of relevant experience",..\data\data\data\ENGINEERING\13149176.pdf
1523,87968870.pdf,HR,0.2774,27.74,0.0145,0.0,0.825,1.0,11,4,0,,"Consider developing skills in: excel, sales, adobe creative suite, seo, sem",..\data\data\data\HR\87968870.pdf
1524,34146825.pdf,ARTS,0.2771,27.71,0.0336,0.375,0.0,0.6667,0,2,6,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, seo, sem, analytics, digital marketing | Gain 4 more years of relevant experience | Consider pursuing higher education qualifications",..\data\data\data\ARTS\34146825.pdf
1525,37913536.pdf,PUBLIC-RELATIONS,0.2771,27.71,0.1709,0.1875,0.0,1.0,0,4,3,ACCOUNTANT:excel | PHARMACEUTICAL:marketing | PUBLIC-RELATIONS:social media,"Consider developing skills in: sales, adobe creative suite, seo, sem, analytics | Gain 4 more years of relevant experience",..\data\data\data\PUBLIC-RELATIONS\37913536.pdf
1526,39581020.pdf,SALES,0.2766,27.66,0.0313,0.375,0.0,0.6667,0,2,6,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, seo, sem, analytics, digital marketing | Gain 4 more years of relevant experience | Consider pursuing higher education qualifications",..\data\data\data\SALES\39581020.pdf
1527,27884470.pdf,BANKING,0.2765,27.65,0.0561,0.25,0.0,1.0,0,4,4,BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: excel, adobe creative suite, seo, sem, analytics | Gain 4 more years of relevant experience",..\data\data\data\BANKING\27884470.pdf
1528,94417768.pdf,DESIGNER,0.2765,27.65,0.0309,0.375,0.0,0.6667,0,2,6,BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales,"Consider developing skills in: excel, adobe creative suite, analytics, seo, google analytics | Gain 4 more years of relevant experience | Consider pursuing higher education qualifications",..\data\data\data\DESIGNER\94417768.pdf
1529,12092347.pdf,FITNESS,0.2763,27.63,0.0303,0.375,0.0,0.6667,0,2,6,BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: excel, adobe creative suite, analytics, seo, google analytics | Gain 4 more years of relevant experience | Consider pursuing higher education qualifications",..\data\data\data\FITNESS\12092347.pdf
1530,25543217.pdf,APPAREL,0.2762,27.62,0.03,0.375,0.0,0.6667,0,2,6,BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales,"Consider developing skills in: excel, adobe creative suite, analytics, seo, google analytics | Gain 4 more years of relevant experience | Consider pursuing higher education qualifications",..\data\data\data\APPAREL\25543217.pdf
1531,16332293.pdf,AUTOMOBILE,0.2762,27.62,0.0546,0.25,0.0,1.0,0,3,4,BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales,"Consider developing skills in: excel, adobe creative suite, seo, sem, analytics | Gain 4 more years of relevant experience",..\data\data\data\AUTOMOBILE\16332293.pdf
1532,24889109.pdf,INFORMATION-TECHNOLOGY,0.2758,27.58,0.0282,0.125,0.75,0.6667,3,2,2,ACCOUNTANT:excel | SOFT-SKILLS:communication,"Consider developing skills in: sales, adobe creative suite, seo, sem, analytics | Gain 1 more years of relevant experience | Consider pursuing higher education qualifications",..\data\data\data\INFORMATION-TECHNOLOGY\24889109.pdf
1533,19285236.pdf,CHEF,0.2758,27.58,0.0282,0.375,0.0,0.6667,0,2,6,BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:sem | MARKETING:sem | PHARMACEUTICAL:sales | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: excel, adobe creative suite, analytics, seo, google analytics | Gain 4 more years of relevant experience | Consider pursuing higher education qualifications",..\data\data\data\CHEF\19285236.pdf
1534,42164460.pdf,ADVOCATE,0.2758,27.58,0.0281,0.375,0.0,0.6667,0,2,6,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, seo, sem, analytics, digital marketing | Gain 4 more years of relevant experience | Consider pursuing higher education qualifications",..\data\data\data\ADVOCATE\42164460.pdf
